"","UserID","ProblemID","overalGradeDiff","CountofSubmissions","avgTSbetweenSubs","countOfVideoandForumEvents"
"1","000399e1d5296df69c1d93cab792adae8e6bef3e",0,0,1,NA,0
"2","000399e1d5296df69c1d93cab792adae8e6bef3e",3,0,1,NA,0
"3","000399e1d5296df69c1d93cab792adae8e6bef3e",6,0,1,NA,0
"4","000e3646f96d6d68198f2fef6f0db5e774bfc69f",0,0,1,NA,0
"5","000e3646f96d6d68198f2fef6f0db5e774bfc69f",1,100,2,1,0
"6","000e3646f96d6d68198f2fef6f0db5e774bfc69f",2,100,9,4,11
"7","000e3646f96d6d68198f2fef6f0db5e774bfc69f",3,0,1,NA,0
"8","000e3646f96d6d68198f2fef6f0db5e774bfc69f",4,100,18,8,5
"9","000e3646f96d6d68198f2fef6f0db5e774bfc69f",5,100,14,225,0
"10","000e3646f96d6d68198f2fef6f0db5e774bfc69f",7,100,42,14,21
"11","000e3646f96d6d68198f2fef6f0db5e774bfc69f",8,100,58,102,76
"12","000e3646f96d6d68198f2fef6f0db5e774bfc69f",9,87.5,9,19,25
"13","000e3646f96d6d68198f2fef6f0db5e774bfc69f",14,0,1,NA,0
"14","000e3646f96d6d68198f2fef6f0db5e774bfc69f",16,0,1,NA,0
"15","002f4c9ac175f34c592cb93f709ad2f63665fbfb",0,33.3333333333333,4,6,0
"16","003fd20e510b912a95a8754c39e0839789975bd9",0,0,1,NA,0
"17","004629abeb7dcd473dfbbdb4accc772cdb70a4db",16,0,1,NA,0
"18","0077f44f0f89d5f030eb51aaedfe2d44c52a6935",1,100,5,3,0
"19","0077f44f0f89d5f030eb51aaedfe2d44c52a6935",2,100,7,356,16
"20","0077f44f0f89d5f030eb51aaedfe2d44c52a6935",4,100,4,3,7
"21","0077f44f0f89d5f030eb51aaedfe2d44c52a6935",5,100,12,112,29
"22","0077f44f0f89d5f030eb51aaedfe2d44c52a6935",7,0,1,NA,0
"23","0077f44f0f89d5f030eb51aaedfe2d44c52a6935",8,75,3,2,0
"24","0077f44f0f89d5f030eb51aaedfe2d44c52a6935",9,-67.5,2,82,0
"25","0077f44f0f89d5f030eb51aaedfe2d44c52a6935",11,80,12,3,0
"26","0077f44f0f89d5f030eb51aaedfe2d44c52a6935",14,40,8,3,0
"27","007d3eb0cf92a757c72510e9f2f24ba58288840d",16,0,1,NA,0
"28","0087e6afbb1337a327e3416d31049ccaf600b095",0,0,1,NA,0
"29","0087e6afbb1337a327e3416d31049ccaf600b095",1,100,3,5,3
"30","0087e6afbb1337a327e3416d31049ccaf600b095",2,0,1,NA,0
"31","0087e6afbb1337a327e3416d31049ccaf600b095",3,0,1,NA,0
"32","0087e6afbb1337a327e3416d31049ccaf600b095",4,25,2,2,0
"33","0087e6afbb1337a327e3416d31049ccaf600b095",5,0,1,NA,0
"34","0087e6afbb1337a327e3416d31049ccaf600b095",6,0,1,NA,0
"35","0087e6afbb1337a327e3416d31049ccaf600b095",7,100,3,5,0
"36","0087e6afbb1337a327e3416d31049ccaf600b095",8,12.5,2,4233,0
"37","0087e6afbb1337a327e3416d31049ccaf600b095",9,2.5,2,2,0
"38","0087e6afbb1337a327e3416d31049ccaf600b095",10,0,1,NA,0
"39","0087e6afbb1337a327e3416d31049ccaf600b095",11,100,3,6,0
"40","0087e6afbb1337a327e3416d31049ccaf600b095",12,0,1,NA,0
"41","0087e6afbb1337a327e3416d31049ccaf600b095",13,0,1,NA,0
"42","0087e6afbb1337a327e3416d31049ccaf600b095",14,37.3333333333333,7,25,0
"43","0087e6afbb1337a327e3416d31049ccaf600b095",15,20,4,5,0
"44","0087e6afbb1337a327e3416d31049ccaf600b095",16,0,1,NA,0
"45","00b4011fa2cad5669ff2ddbec5ab413735d992b6",0,16.6666666666667,4,2,0
"46","00b4011fa2cad5669ff2ddbec5ab413735d992b6",3,16.6666666666667,2,3,0
"47","00b4011fa2cad5669ff2ddbec5ab413735d992b6",4,100,7,4,4
"48","00b4011fa2cad5669ff2ddbec5ab413735d992b6",5,100,5,4,2
"49","00b4011fa2cad5669ff2ddbec5ab413735d992b6",6,0,1,NA,0
"50","00b4011fa2cad5669ff2ddbec5ab413735d992b6",10,0,1,NA,0
"51","00b4011fa2cad5669ff2ddbec5ab413735d992b6",12,0,1,NA,0
"52","00b4011fa2cad5669ff2ddbec5ab413735d992b6",13,0,1,NA,0
"53","00be45318a6de9854fcc4f4ded799206953e4f79",0,0,1,NA,0
"54","00be45318a6de9854fcc4f4ded799206953e4f79",3,20.8333333333333,3,4,0
"55","00c47853120cefbcda1d9d7d1fa65576819ddf29",0,0,1,NA,0
"56","00c47853120cefbcda1d9d7d1fa65576819ddf29",1,100,9,5,3
"57","00c47853120cefbcda1d9d7d1fa65576819ddf29",2,5,3,30,3
"58","00c47853120cefbcda1d9d7d1fa65576819ddf29",3,0,1,NA,0
"59","00c47853120cefbcda1d9d7d1fa65576819ddf29",4,0,1,NA,0
"60","00c47853120cefbcda1d9d7d1fa65576819ddf29",5,15.5555555555556,2,3,0
"61","00c47853120cefbcda1d9d7d1fa65576819ddf29",7,14.2857142857143,2,3,0
"62","00c47853120cefbcda1d9d7d1fa65576819ddf29",8,0,1,NA,0
"63","00c47853120cefbcda1d9d7d1fa65576819ddf29",9,32.5,8,63,0
"64","00c47853120cefbcda1d9d7d1fa65576819ddf29",11,22.2222222222222,7,18,0
"65","00c47853120cefbcda1d9d7d1fa65576819ddf29",14,40,6,6,0
"66","00cacfcae936a9c1af06fdec0e16295e0c5060f9",0,0,1,NA,0
"67","00cacfcae936a9c1af06fdec0e16295e0c5060f9",3,0,1,NA,0
"68","00e2fc0d0020a048d7fedfebac914c1cf8e71a67",0,0,1,NA,0
"69","00e2fc0d0020a048d7fedfebac914c1cf8e71a67",1,0,1,NA,0
"70","00e2fc0d0020a048d7fedfebac914c1cf8e71a67",2,0,1,NA,0
"71","00e2fc0d0020a048d7fedfebac914c1cf8e71a67",4,50,3,20,0
"72","00e2fc0d0020a048d7fedfebac914c1cf8e71a67",5,0,1,NA,0
"73","00e2fc0d0020a048d7fedfebac914c1cf8e71a67",7,100,6,3,3
"74","00e2fc0d0020a048d7fedfebac914c1cf8e71a67",8,0,1,NA,0
"75","00e2fc0d0020a048d7fedfebac914c1cf8e71a67",9,0,1,NA,0
"76","00e2fc0d0020a048d7fedfebac914c1cf8e71a67",11,0,1,NA,0
"77","01412128412b3847419606f1ac550b40568748ad",0,16.6666666666667,4,16,0
"78","01412128412b3847419606f1ac550b40568748ad",1,0,1,NA,0
"79","01412128412b3847419606f1ac550b40568748ad",2,0,1,NA,0
"80","01412128412b3847419606f1ac550b40568748ad",3,4.16666666666666,2,15,0
"81","01412128412b3847419606f1ac550b40568748ad",4,50,4,9,0
"82","01412128412b3847419606f1ac550b40568748ad",5,100,7,27,2
"83","01412128412b3847419606f1ac550b40568748ad",6,0,1,NA,0
"84","01412128412b3847419606f1ac550b40568748ad",7,2.85714285714286,3,4,0
"85","0162b8434e5c4d0a7978dd270abae0a8058e8229",1,0,1,NA,0
"86","0162b8434e5c4d0a7978dd270abae0a8058e8229",2,0,1,NA,0
"87","0163922789abaa2a257f4b3bf5bfeed43e046aa5",0,22.2221692403158,4,4,2
"88","0163922789abaa2a257f4b3bf5bfeed43e046aa5",1,100,3,4,0
"89","0163922789abaa2a257f4b3bf5bfeed43e046aa5",2,0,1,NA,0
"90","0163922789abaa2a257f4b3bf5bfeed43e046aa5",3,20.8333333333333,6,6,0
"91","0163922789abaa2a257f4b3bf5bfeed43e046aa5",4,50,6,4,2
"92","0163922789abaa2a257f4b3bf5bfeed43e046aa5",5,0,1,NA,0
"93","0163922789abaa2a257f4b3bf5bfeed43e046aa5",6,25,4,6,0
"94","0163922789abaa2a257f4b3bf5bfeed43e046aa5",7,100,5,4,0
"95","0163922789abaa2a257f4b3bf5bfeed43e046aa5",8,100,6,4,0
"96","0163922789abaa2a257f4b3bf5bfeed43e046aa5",9,0,1,NA,0
"97","0163922789abaa2a257f4b3bf5bfeed43e046aa5",10,26.6666650772095,4,5,0
"98","0163922789abaa2a257f4b3bf5bfeed43e046aa5",11,100,9,5,6
"99","0163922789abaa2a257f4b3bf5bfeed43e046aa5",12,12.5,3,7,0
"100","0163922789abaa2a257f4b3bf5bfeed43e046aa5",13,20,2,5,0
"101","0163922789abaa2a257f4b3bf5bfeed43e046aa5",14,100,12,109,20
"102","0163922789abaa2a257f4b3bf5bfeed43e046aa5",15,0,1,NA,0
"103","0163922789abaa2a257f4b3bf5bfeed43e046aa5",16,0,1,NA,0
"104","019d95996d1bb9b3ce50d2a9836b4c818b79377d",0,0,1,NA,0
"105","019d95996d1bb9b3ce50d2a9836b4c818b79377d",1,0,1,NA,0
"106","019d95996d1bb9b3ce50d2a9836b4c818b79377d",2,75,2,2,0
"107","01b4dc19b0838adcfc5f72f92adffd7fbe14cab7",0,0,1,NA,0
"108","01b4dc19b0838adcfc5f72f92adffd7fbe14cab7",3,0,1,NA,0
"109","01b4dc19b0838adcfc5f72f92adffd7fbe14cab7",4,100,5,4,0
"110","01b4dc19b0838adcfc5f72f92adffd7fbe14cab7",5,88.8888888888889,6,4,0
"111","01b4dc19b0838adcfc5f72f92adffd7fbe14cab7",7,100,7,3,0
"112","01b4dc19b0838adcfc5f72f92adffd7fbe14cab7",8,100,4,2,0
"113","01b4dc19b0838adcfc5f72f92adffd7fbe14cab7",9,0,3,5,0
"114","01b4dc19b0838adcfc5f72f92adffd7fbe14cab7",16,0,1,NA,0
"115","01d538e757040bd4eefcac2b7c46e651059d9d52",1,0,1,NA,0
"116","01d538e757040bd4eefcac2b7c46e651059d9d52",2,0,1,NA,0
"117","01d538e757040bd4eefcac2b7c46e651059d9d52",4,100,4,2,0
"118","01d538e757040bd4eefcac2b7c46e651059d9d52",5,33.3333333333333,6,9,0
"119","01d538e757040bd4eefcac2b7c46e651059d9d52",7,57.1428571428571,5,15,0
"120","01d538e757040bd4eefcac2b7c46e651059d9d52",8,0,1,NA,0
"121","01d538e757040bd4eefcac2b7c46e651059d9d52",9,5,3,5,0
"122","01d538e757040bd4eefcac2b7c46e651059d9d52",11,33.3333333333333,3,8,0
"123","01d538e757040bd4eefcac2b7c46e651059d9d52",14,8.00000000000001,11,45,7
"124","01d538e757040bd4eefcac2b7c46e651059d9d52",15,20,3,646,0
"125","01d538e757040bd4eefcac2b7c46e651059d9d52",16,0,1,NA,0
"126","01f4291a2630294df40a552c46cda1bd95d36cb0",1,20,2,3,0
"127","01f4291a2630294df40a552c46cda1bd95d36cb0",2,0,1,NA,0
